timestamp,mq4,mq5,mq135,mq2,mq7,mq3,label
2026-05-01T15:06:26.580374,1904,2641,1009,318,388,1227,Smoke
2026-05-01T15:06:43.846472,1926,2697,1074,317,438,1223,Smoke
2026-05-01T15:06:45.842100,1873,2672,1091,384,449,1171,Smoke
2026-05-01T15:06:47.849069,1939,2700,1050,326,439,1225,Smoke
2026-05-01T15:06:49.841499,1864,2672,1079,380,435,1143,Smoke
2026-05-01T15:06:51.847128,1939,2690,1008,344,438,1225,Smoke
2026-05-01T15:06:53.870770,1885,2702,1072,381,410,1156,Smoke
2026-05-01T15:06:56.021141,1944,2687,994,309,368,1220,Smoke
2026-05-01T15:06:57.842874,1870,2612,1050,383,392,1143,Smoke
2026-05-01T15:06:59.913346,1957,2656,986,312,390,1225,Smoke
2026-05-01T15:07:01.846104,1870,2607,1070,384,358,1139,Smoke
2026-05-01T15:07:03.861996,1964,2641,988,303,419,1222,Smoke
2026-05-01T15:07:05.839051,1882,2656,1081,359,365,1143,Smoke
2026-05-01T15:07:07.944687,1958,2624,999,311,431,1217,Smoke
2026-05-01T15:07:09.866109,1885,2685,1075,336,367,1146,Smoke
2026-05-01T15:07:11.896342,1939,2644,1078,385,439,1193,Smoke
2026-05-01T15:07:13.939727,1882,2726,1072,313,366,1137,Smoke
2026-05-01T15:07:15.901786,1920,2639,993,355,439,1165,Smoke
2026-05-01T15:07:17.845959,1915,2722,1047,304,376,1147,Smoke
2026-05-01T15:07:19.983982,1888,2636,986,373,435,1133,Smoke
2026-05-01T15:07:21.876301,1941,2716,1015,312,367,1174,Smoke
2026-05-01T15:07:23.853494,1888,2635,1001,375,425,1132,Smoke
2026-05-01T15:07:25.844532,1969,2716,992,315,374,1197,Smoke
2026-05-01T15:07:27.878867,1892,2630,1028,382,404,1129,Smoke
2026-05-01T15:07:29.853064,1975,2696,984,308,379,1198,Smoke
2026-05-01T15:07:31.962003,1956,2717,1061,381,382,1167,Smoke
2026-05-01T15:07:33.880290,1970,2664,981,315,401,1203,Smoke
2026-05-01T15:07:35.838374,1892,2643,1060,366,363,1133,Smoke
2026-05-01T15:07:37.955136,1977,2632,986,313,423,1203,Smoke
2026-05-01T15:07:39.846436,1885,2628,996,350,372,1123,Smoke
2026-05-01T15:07:41.894947,1957,2633,986,314,439,1193,Smoke
2026-05-01T15:07:43.997996,1901,2709,1063,330,371,1128,Smoke
2026-05-01T15:07:45.892483,1932,2634,978,336,441,1177,Smoke
2026-05-01T15:07:47.865432,1902,2640,1022,314,368,1124,Smoke
2026-05-01T15:07:49.840406,1914,2636,986,355,433,1150,Smoke
2026-05-01T15:07:51.987219,1930,2730,1022,313,368,1150,Smoke
2026-05-01T15:07:53.835234,1907,2638,977,381,439,1129,Smoke
2026-05-01T15:07:55.848193,1951,2722,989,302,367,1166,Smoke
2026-05-01T15:07:57.869066,1904,2627,1004,381,419,1123,Smoke
2026-05-01T15:07:59.919700,1907,2638,975,309,365,1193,Smoke
2026-05-01T15:08:01.880730,1909,2638,1036,384,385,1133,Smoke
